event/_date,event/_name,result/_winner,result/_type,result/__text,player/0/_color,player/0/_name,player/1/_color,player/1/_name,moves/_game,moves/_type,moves/__text
2004-05,yahoo japan,black,normal,43-21,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4e3c5g6f3g5g3f2g4h4f1h3e2d6h6h5h2c3d3c4b4c2b3d2d1e1c1b6h7b5a6a4f7c6d7d8c7e7c8b8a7e8f8g8b7a5a3a2a1a8b2b1g7h8g2g1h1
2004-05,yahoo japan,white,lost-on-time,00-64,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4c3d6f3c5g4g3c6c4f7h4d3g6e7g5h6f2d7e3e2c7h5c2b4e8h3f8d8b5b3e1d2d1g1f1c1a4g8c8b8a3
2004-05,yahoo japan,black,normal,38-26,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4g6c5f3g5d6e3h5c7e2f2g4g3f1h4h3e1d1e7d2g2d3f7f8h6e8h2h1d7h7d8c8g7b7c2b3b1c3c4c6g1g8a8b4b8h8b6b5a4c1a5a2a3a6a7b2a1
2004-05,yahoo japan,black,lost-on-time,64-00,black,seeley ben,white,murakami takeshi,othello-8x8,flat,f5f6e6f4e3c5g5g3g4f3c4d6g6h6c7d3c6c3d7e7f8e8d8f7c2h3h4h5d2e2f1d1g2f2e1c1h2b5b4a4a3a2b1b3a6h1g8b2a5a7a1b6a8c8h7h8g7b7
2004-05,yahoo japan,white,normal,29-35,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4f6g5e6c5f3g3e3b4b6c6h4e7g4c2b3d2f7b5a4a5a6e2h3h6h5f2h7g6d8a3c7d7e8c8a2f8g7h8e1h2b1f1g1b2g8d1a1c1g2h1b7a8a7b8
2004-05,yahoo japan,white,lost-on-time,00-64,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4f6f3e6e7d7g6f8c5c6c7c8b4b3b5a4a3e3d2h6f7g5d8e8g4h3h5d1a6a2e2c2c1e1f1h4g7h8h7f2b6
2004-05,yahoo japan,white,normal,29-35,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5f6e6f4g5g6g4h6f3e3h5e7d7c5e2d6e8d3c6h3h4c7c2f8g8c8c4c3g7c1f7h8d8h7d2f1d1e1f2g1b4g2b7g3b6b3a2a3a4a5a6b5b2a8a7b8h1h2b1a1
2004-05,yahoo japan,black,lost-on-time,64-00,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4c5b3c2e6c6b6b4f6g3b5a3e3d2g4a4e2f3d1c1f2g5b1f1h3h4h5c7d8g2b2e1d7b7a7a6a5a1a2a8h1g1h2c8b8e7
2004-05,yahoo japan,black,lost-on-time,64-00,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5g4h6h5h4c6c7b4b6c8d8c5b5a5a6h3h2g3d2e2e3f2d1c1c2f1b1b3h7e1g1a7g8b2a1b7a2e8a3a4a8b8g7h8h1
2004-05,yahoo japan,white,normal,30-34,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5f6e6f4g6c5g4g5f3e3h4f2d3c3f1h6c4f7d2c2e2h5h7d6b4e1b6b5c6d7c7a6g3e7c8e8d8b8a4f8d1a5b3h3h2b7a7a2g7a3a1a8b2h8g8h1g1g2c1b1
2004-05,yahoo japan,white,normal,21-43,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4f6b4f3e6e3f2b5c2c5d2f7c6e2b3a4a3a2g3c1a6d1e1c7e7g5b6d8g6g4f1h3h6h5b1d7c8g7a5a7b7a8b8h7h4h2h8g2g8b2a1f8e8h1g1
2004-05,yahoo japan,white,normal,23-41,black,murakami takeshi,white,seeley ben,othello-8x8,flat,f5d6c3d3c4f4c5b5b4b3d2c6a4a3a6e6b6a5a2e2f1e3c2f3c7c1e1b8d8c8d1g1g4e8f2g5d7f6g3b1f7g6h5e7h6g7h8b7g8f8g2h1a8a7b2a1h2h3h4h7
